"*-a₁","acd-s_a1.htm#383","imperative suffix"
"*rakat","acd-s_r1.htm#4813","walk"
"*raŋkep₂","acd-s_r1.htm#9436","unite, do simultaneously"
"*raket","acd-s_r1.htm#4814","sticky, adhesive"
"*ra(ŋ)kup","acd-s_r1.htm#4858","gather in the cupped hands"
"*ramig","acd-s_r1.htm#10692","cold (of weather)"
"*raŋ(e)pas","acd-s_r1.htm#4857","to plunder, rob"
"*rapat","acd-s_r1.htm#12555","to attack"
"*rapet","acd-s_r1.htm#12822","join together, attach tightly"
"*rara","acd-s_r1.htm#4829","red"
"*ra(n)tas","acd-s_r1.htm#4853","cut through, tear"
"*raut","acd-s_r1.htm#11919","peel rattan"
"*rawan","acd-s_r1.htm#4835","strong emotion"
"*rawraw","acd-s_r1.htm#4839","to rinse"
"*rebuk","acd-s_r1.htm#4864","dry rot in wood"
"*rebuŋ","acd-s_r1.htm#12829","plant shoot. esp. bamboo shoot"
"*rembur","acd-s_r1.htm#4871","mix together"
"*rebut","acd-s_r1.htm#12831","to tear out"
"*recik","acd-s_r1.htm#4865","speckled, stained"
"*re(ŋ)geŋ","acd-s_r1.htm#4894","dull resonance"
"*re(ŋ)guk","acd-s_r1.htm#4895","deep throaty sound"
"*reken","acd-s_r1.htm#4868","coiled base on which hot cooking pots are set"
"*rekut","acd-s_r1.htm#4869","curled or crumpled up"
"*remek","acd-s_r1.htm#4873","crush, pulverize; crumble"
"*re(m)pak","acd-s_r1.htm#12671","brittle, crumbly, friable"
"*remuk","acd-s_r1.htm#12832","crumble, fall to bits"
"*reŋet","acd-s_r1.htm#11921","angry"
"*reŋit₂","acd-s_r1.htm#11922","grimace at pain"
"*re(ŋ)kaq","acd-s_r1.htm#4896","force open"
"*reŋut","acd-s_r1.htm#4893","wrinkled; frown"
"*repek","acd-s_r1.htm#4880","brittle, friable; to crumble"
"*repuk","acd-s_r1.htm#12824","fragile, brittle, easily broken, of wood"
"*rempun","acd-s_r1.htm#4874","gather together"
"*reput","acd-s_r1.htm#4882","rotten to brittleness, of wood"
"*retuk","acd-s_r1.htm#4884","hit, pound, chop"
"*re(n)zak","acd-s_r1.htm#4892","step on, place one's foot on"
"*riba","acd-s_r1.htm#4903","lap"
"*ribut","acd-s_r1.htm#11489","storm"
"*rikas","acd-s_r1.htm#4906","quick, fast"
"*riŋis₁","acd-s_r1.htm#4918","bare the teeth in smiling or laughing"
"*rimpuk","acd-s_r1.htm#4910","strike together"
"*rimpuŋ","acd-s_r1.htm#4911","tie the feet together"
"*riqas","acd-s_r1.htm#4913","split"
"*rintik","acd-s_r1.htm#12724","steady dripping, as of sweat or drizzling rain"
"*ru(n)duŋ","acd-s_r1.htm#4948","shelter"
"*ru(ŋ)guŋ","acd-s_r1.htm#4949","thunder"
"*rumpak","acd-s_r1.htm#4931","thud, strike against"
"*rupuk","acd-s_r1.htm#4936","sound of breaking or cracking"
"*rusuk","acd-s_r1.htm#4942","pierce, stab"
"*rutas","acd-s_r1.htm#4943","sever, tear"
"*Rambia","acd-s_r2.htm#4818","sago palm"
"*Rabiqi","acd-s_r2.htm#9029","late afternoon, evening; evening meal; yesterday"
"*Rabi-Rabi","acd-s_r2.htm#7382","every night, happening every night"
"*Rabuk","acd-s_r2.htm#8677","decaying wood; dust, powder"
"*Rabun","acd-s_r2.htm#8683","drizzling rain, mist; fog"
"*Rabut","acd-s_r2.htm#10682","uproot, pull out by the roots"
"*Radut","acd-s_r2.htm#4810","pluck, pull out"
"*Rahuŋ","acd-s_r2.htm#6922","ambush, attack from concealment"
"*Rakit","acd-s_r2.htm#8685","lay long objects side by side; raft"
"*Rakut","acd-s_r2.htm#4815","tie together"
"*Rames","acd-s_r2.htm#4819","squeeze, knead"
"*Ramut₁","acd-s_r2.htm#8704","fibrous roots, as of grass"
"*Raŋa","acd-s_r2.htm#4842","the spider conch:"
"*Raŋa₁","acd-s_r2.htm#4841","open the mouth wide"
"*Raŋak","acd-s_r2.htm#8637","the spider conch:"
"*RaŋaR","acd-s_r2.htm#8638","the spider conch:"
"*Raŋu","acd-s_r2.htm#4854","dry"
"*Rapus","acd-s_r2.htm#11821","to bind, tie the hands or feet, as a person in detention, or an animal to be slaughtered; restraining rope"
"*Raqan","acd-s_r2.htm#4826","lightness (weight)"
"*Raqup","acd-s_r2.htm#4828","cup the hands"
"*Rantaŋ","acd-s_r2.htm#4823","kind of large carrying basket"
"*Rataq","acd-s_r2.htm#4831","coconut milk"
"*Ratas₁","acd-s_r2.htm#4832","sever, tear"
"*Ratas₂","acd-s_r2.htm#11970","milk"
"*Ratus","acd-s_r2.htm#7317","hundred"
"*Raya","acd-s_r2.htm#7358","big, large"
"*Rebek","acd-s_r2.htm#4863","to fly"
"*Re(ŋ)kem","acd-s_r2.htm#4897","grasp in the fist"
"*Reken","acd-s_r2.htm#4867","coiled base on which hot cooking pots are set"
"*Remek","acd-s_r2.htm#4872","crush, pulverize; crumble"
"*Reneg","acd-s_r2.htm#4876","press down"
"*Reŋet","acd-s_r2.htm#9448","angry, annoyed"
"*Re(ŋ)keŋ","acd-s_r2.htm#4898","shrink, contract"
"*Repak","acd-s_r2.htm#4879","break to pieces"
"*Re(m)puk","acd-s_r2.htm#4890","crumbling, of wood"
"*Riaq","acd-s_r2.htm#4900","sword grass:"
"*RibaS","acd-s_r2.htm#4902","demolish"
"*Ribu","acd-s_r2.htm#7973","thousand"
"*Ri(m)pit","acd-s_r2.htm#4922","squeeze between; pinch, take between fingers"
"*Riqek","acd-s_r2.htm#4914","thresh grain by trampling"
"*Risi","acd-s_r2.htm#4915","tear, split, cut"
"*Risiq","acd-s_r2.htm#9451","tear, split, cut"
"*Ruab","acd-s_r2.htm#8169","high tide, tidal flow"
"*Rumbia","acd-s_r2.htm#7959","sago palm"
"*Rudaŋ","acd-s_r2.htm#7581","old, of people"
"*Rujan","acd-s_r2.htm#4930","cargo, load (on a boat)"
"*Ruŋkeb","acd-s_r2.htm#4947","cover over, cover up"
"*Rumaq","acd-s_r2.htm#7303","house"
"*Runut","acd-s_r2.htm#4934","plant fibers"
"*Ruqanay","acd-s_r2.htm#11914","male"
"*Rusuk","acd-s_r2.htm#8475","ribcage"
"*sa buliR","acd-s_b.htm#1587","one stem, one stalk"
"*sa₁","acd-s_s1.htm#8809","nominative case marker for plural personal names"
"*sa₂","acd-s_s1.htm#9514","locative marker"
"*sa₃","acd-s_s1.htm#9545","one (clitic form of *esa)"
"*sambak","acd-s_s1.htm#5006","hit, strike a heavy blow"
"*sabaŋ₁","acd-s_s1.htm#4956","estuary, shore near the mouth of a river"
"*sa(m)bar","acd-s_s1.htm#5113","seize in the mouth or beak"
"*sabay₁","acd-s_s1.htm#9075","do something together with others"
"*sabsab","acd-s_s1.htm#9102","slurp up food or water, eat like a pig or dog; gulp down"
"*sa-buaq","acd-s_b.htm#1338","one (unit)"
"*sabuR","acd-s_s1.htm#9605","to sow, scatter; scattered about; splash water on something"
"*sanday","acd-s_s1.htm#12780","to lean or rest on"
"*sandeR","acd-s_s1.htm#9009","lean against, lean or incline on"
"*sandiR","acd-s_s1.htm#9010","lean against, lean or incline on"
"*saet","acd-s_s1.htm#4970","spear, to spear"
"*sagu₁","acd-s_s1.htm#9234","processed sago, prepared starch from the sago palm"
"*sai","acd-s_s1.htm#8847","who?"
"*sai sai","acd-s_s1.htm#8849","whoever"
"*sakal","acd-s_s1.htm#4982","restraining device on animals"
"*sakaŋ","acd-s_s1.htm#9057","bowlegged"
"*saka-pitu","acd-s_p.htm#8321","(gloss uncertain)"
"*sakaRu","acd-s_s1.htm#4983","reef"
"*sakat","acd-s_s1.htm#4984","rise, climb up"
"*sakay₁","acd-s_s1.htm#5120","catch a ride, join a group, ride on something"
"*sakay₄","acd-s_s1.htm#9489","to climb, ascend, rise up"
"*sakep","acd-s_s1.htm#4985","catch, seize"
"*sakil","acd-s_s1.htm#9516","rest the foot on; touch or knock with the foot"
"*sa(ŋ)kit","acd-s_s1.htm#5122","tie, fasten together"
"*sakit","acd-s_s1.htm#8337","sick, painful"
"*saksak₁","acd-s_s1.htm#4986","hack, chop into pieces"
"*saku₁","acd-s_s1.htm#9236","extract the pith from the sago palm"
"*saku₂","acd-s_s1.htm#9509","needlefish, young of  spp."
"*saku-layaR","acd-s_s1.htm#9510","sailfish, swordfish"
"*sakup₁","acd-s_s1.htm#9684","to catch"
"*saladeŋ","acd-s_s1.htm#8889","male deer, buck (?)"
"*salaq salaq","acd-s_s1.htm#8205","(gloss uncertain)"
"*salaq₁","acd-s_s1.htm#8193","wrong, in error (of behavior); miss (a target); mistake, error, fault"
"*salaR","acd-s_s1.htm#4992","nest"
"*saleŋ","acd-s_s1.htm#7523","pine tree, pitch pine"
"*saleR","acd-s_s1.htm#8977","floor of a house"
"*saliR","acd-s_s1.htm#8979","to flow, of water"
"*saliw","acd-s_s1.htm#5003","buy, sell"
"*sama-sama","acd-s_s1.htm#9231","with no difference, equally to both"
"*samuR","acd-s_s1.htm#9758","to mix; mixture"
"*sanaR","acd-s_s1.htm#9157","to shine, of the sun"
"*sanu","acd-s_n1.htm#3692","person whose name is avoided or cannot be remembered: So-and-so"
"*saŋa₁","acd-s_s1.htm#8803","bifurcation, fork of a branch"
"*sa-ŋa-puluq","acd-s_p.htm#6906","ten"
"*sa-ŋa-Ratus","acd-s_r2.htm#7319","one hundred"
"*saŋa-saŋa","acd-s_s1.htm#8808","starfish"
"*saŋelaR","acd-s_s1.htm#8409","to stir-fry, cook in a frying pan without oil"
"*sapa","acd-s_s1.htm#8171","what?"
"*sapak","acd-s_s1.htm#5015","crack, split, break; sound of cracking, splitting, breaking"
"*sapaq₁","acd-s_s1.htm#9244","stream, river"
"*sapaw","acd-s_s1.htm#5020","field hut"
"*sampay₁","acd-s_s1.htm#9225","drape over the shoulder or from a line, as a cloth"
"*sampay₂","acd-s_s1.htm#9535","up to, as far as, until"
"*sampay-an","acd-s_s1.htm#9227","clothesline, place to hang washed clothing"
"*sapet","acd-s_s1.htm#9255","grab with the hand, catch"
"*sapu","acd-s_s1.htm#9257","to wipe off or brush off; broom"
"*sapuk","acd-s_s1.htm#5033","fine dust, airborne dust"
"*sa-puluq","acd-s_p.htm#6905","ten"
"*saput₁","acd-s_s1.htm#9195","burial shroud; to enshroud a corpse"
"*saput₂","acd-s_s1.htm#9629","to pick up with something to avoid getting dirty or burned"
"*saqebit","acd-s_s1.htm#9120","hook on to something; entangle"
"*saq(e)buR","acd-s_s1.htm#9309","to strew, sow, sprinkle"
"*saqit","acd-s_s1.htm#9197","hook; to hang up"
"*saqsaq","acd-s_s1.htm#5053","bamboo which has been split and flattened"
"*saruk","acd-s_s1.htm#9228","scoop up in a net; fetch water by scooping up"
"*saRep","acd-s_s1.htm#6531","save, rescue"
"*saRman","acd-s_s1.htm#8453","outrigger float"
"*saRu₁","acd-s_s1.htm#5059","comb"
"*saRuk","acd-s_s1.htm#9232","step into clothing, put on a sarong"
"*saRup₁","acd-s_s1.htm#5056","scoop up with both hands"
"*saRup₂","acd-s_s1.htm#5057","sing in unison"
"*saRut","acd-s_s1.htm#5058","answer, reply"
"*sasah","acd-s_s1.htm#5063","cut or collect palm leaves for roofing"
"*sau₄","acd-s_s1.htm#9426","word; talk; conversation; language"
"*sauq₂","acd-s_s1.htm#8132","anchor"
"*saut","acd-s_s1.htm#5090","comb"
"*sawa","acd-s_s1.htm#8484","python"
"*sawaq","acd-s_s1.htm#5095","channel"
"*se(m)bek","acd-s_s1.htm#5236","muffled sound of a gasp, etc."
"*sebu","acd-s_s1.htm#8949","bladder"
"*sebuh","acd-s_s1.htm#8943","douse a fire, extinguish a fire with water; to hiss, as water on fire"
"*sendem","acd-s_s1.htm#5159","brood, think, be silent"
"*sedep₁","acd-s_s1.htm#9281","to set (of the sun)"
"*sendiR","acd-s_s1.htm#9013","to lean on or against"
"*sedu","acd-s_s1.htm#5134","hiccough"
"*se(ŋ)ger","acd-s_s1.htm#5239","feel fit, healthy"
"*sei","acd-s_.htm#9385","who?"
"*sejep","acd-s_s1.htm#5136","enter, penetrate"
"*sekaŋ","acd-s_s1.htm#9084","crossbar, strut, something to hold things apart"
"*seŋkar","acd-s_s1.htm#9499","transverse beams that support the roof of a house; thwart or ribs of a boat"
"*sekel","acd-s_s1.htm#5140","bend, bow"
"*sekep","acd-s_s1.htm#5141","keep secret, cover up"
"*seksek₁","acd-s_s1.htm#8905","to stuff, cram in; be crowded"
"*sekuk","acd-s_s1.htm#9722","to sob, choke, have broken respiration"
"*selem₁","acd-s_s1.htm#8912","sink, immerse oneself in water, dive into the water; to set, of the sun"
"*selep","acd-s_s1.htm#5145","enter, penetrate"
"*selet","acd-s_s1.htm#5146","insert between"
"*selsel₁","acd-s_s1.htm#5149","insert, cram in"
"*selu","acd-s_s1.htm#9521","fish with a thin, elongated body: long tom"
"*seŋ(e)hij","acd-s_s1.htm#5233","acrid, pungent, of odor"
"*seŋ(e)hit","acd-s_s1.htm#9467","acrid, pungent, of odor"
"*seŋet₁","acd-s_s1.htm#5232","acrid, pungent, of odor"
"*seŋet₂","acd-s_s1.htm#9538","to sting or bite, of an insect"
"*seŋseŋ","acd-s_s1.htm#5237","cork, stopper, plug"
"*sepaŋ","acd-s_s1.htm#5189","a thorny tree:  spp."
"*sepet₂","acd-s_s1.htm#5190","obstructed, of the flow of water"
"*sepiq","acd-s_s1.htm#9501","break off fruit or branches"
"*sepsep","acd-s_s1.htm#7478","sip, suck"
"*sepsep-en","acd-s_s1.htm#7483","to be sucked up or in"
"*sepsep-i","acd-s_s1.htm#7484","to sip, to suck"
"*serep","acd-s_s1.htm#9632","penetrate"
"*si amax","acd-s_a1.htm#137","father (ref.)"
"*si ia₁","acd-s_i1.htm#2786","3sg. personal pronoun: he, she, it"
"*si ia₂","acd-s_i1.htm#2788","demonstrative pronoun and adverb: this, here; that, there"
"*si ida","acd-s_i1.htm#2818","they"
"*si₁","acd-s_s1.htm#8782","nominative case marker for singular personal names or kin terms used as personal names"
"*siap","acd-s_s1.htm#9567","chick"
"*sibu","acd-s_s1.htm#5241","urine"
"*simbuR","acd-s_s1.htm#5279","to sprinkle"
"*sindar","acd-s_s1.htm#5288","light, bright"
"*siDsiD","acd-s_s1.htm#7679","sail along the coast, follow the coast in voyaging"
"*sidu","acd-s_s1.htm#5244","spoon, ladle"
"*siga","acd-s_s1.htm#9067","spark, bright light"
"*sihul","acd-s_s1.htm#5247","to whistle"
"*si-ima","acd-s_i1.htm#8841","who?"
"*siji","acd-s_s1.htm#5248","separate the chaff from the grain"
"*sika","acd-s_s1.htm#9691","to chase away or shoo off small animals"
"*siŋkab","acd-s_s1.htm#5345","open, uncover"
"*sikek","acd-s_s1.htm#9539","kingfisher:  spp."
"*si(ŋ)ket","acd-s_s1.htm#5357","stick, adhere to"
"*siksik₂","acd-s_s1.htm#8923","scale of fish, lizard or snake; shell of turtle or tortoise"
"*siŋkul","acd-s_s1.htm#5346","bent, of the arm"
"*sikut₁","acd-s_s1.htm#5264","bent, of the arm"
"*sikux","acd-s_s1.htm#8485","elbow"
"*sila₁","acd-s_s1.htm#9468","outpouring of light"
"*silak₁","acd-s_s1.htm#8478","beam of light"
"*silap","acd-s_s1.htm#5266","sparkle, dazzle"
"*silaq","acd-s_s1.htm#5267","split"
"*silaq","acd-s_s1.htm#5270","outpouring of light"
"*silaw","acd-s_s1.htm#8938","dazzling, of light"
"*sileŋ","acd-s_s1.htm#5273","look askance"
"*sili","acd-s_s1.htm#5275","dazzled"
"*s<in>aŋelaR","acd-s_s1.htm#8411","food that is dry roasted"
"*sinaR","acd-s_s1.htm#7270","ray of light, sunbeam"
"*si(n)duk","acd-s_s1.htm#5350","spoon, ladle"
"*siŋaR","acd-s_s1.htm#9553","ray of light; to shine"
"*siŋ(e)qit","acd-s_s1.htm#5354","fit snugly, as bowstring in arrow notch"
"*si(ŋ)kuk₁","acd-s_s1.htm#5358","have a stiff or bent arm"
"*simpa","acd-s_s1.htm#9556","slanting, sloping"
"*simpaŋ","acd-s_s1.htm#9554","side path, branch or fork in path or stream; take a side path or way; crossroads"
"*si(m)pet","acd-s_s1.htm#5347","close, shut off"
"*sipiŋ","acd-s_s1.htm#12787","supernumerary, as an extra finger or toe"
"*sipit","acd-s_s1.htm#9217","tongs, pincers, claw of a crab or lobster; to pinch or squeeze"
"*sipsip","acd-s_s1.htm#5308","sip, suck"
"*sirak₁","acd-s_s1.htm#5313","outpouring of light"
"*siraq₁","acd-s_s1.htm#9582","to split open"
"*siRa₂","acd-s_s1.htm#9438","red, reddish color of flames"
"*siRaq","acd-s_s1.htm#5316","reddish, color of flames"
"*siRi","acd-s_s1.htm#5317","a shrub: ,"
"*siRup","acd-s_s1.htm#9091","to sip, as through a straw"
"*sisi₁","acd-s_s1.htm#5325","small snail or periwinkle"
"*sisir","acd-s_s1.htm#9129","comb, comb-like structure; rake, harrow"
"*sit","acd-s_s1.htm#5329","sound of sputtering, sizzling, etc."
"*sitsit","acd-s_s1.htm#5328","hiss"
"*siuk","acd-s_s1.htm#5330","hiss; whistle"
"*siwa","acd-s_s2.htm#9165","nine"
"*siwaŋ","acd-s_s1.htm#9041","gap, open space; groove"
"*siwaq","acd-s_s1.htm#9635","fissure, split in something"
"*siwsiw","acd-s_s1.htm#9323","to cheep; baby chick"
"*su","acd-s_s1.htm#8810","nominative case marker for common nouns"
"*sual","acd-s_s1.htm#7681","root up the ground, of a pig; uproot"
"*suaR₁","acd-s_s1.htm#7682","lift up with a lever, lever up, root up"
"*suat₁","acd-s_s1.htm#5378","kind of comb"
"*suat₂","acd-s_s1.htm#9532","root up, lever up"
"*suba","acd-s_s1.htm#5379","spittle, saliva"
"*sudu","acd-s_s1.htm#5381","spoon, ladle, scoop"
"*suduk","acd-s_s1.htm#9341","spoon, ladle, spade, shovel"
"*suja","acd-s_s1.htm#9265","pitfall or trail spikes made of sharpened bamboo"
"*suka₁","acd-s_s1.htm#5384","a tree:"
"*su(ŋ)kab","acd-s_s1.htm#5466","to open, break open"
"*suked","acd-s_s1.htm#9087","prop, support; to prop up or support"
"*suŋkit","acd-s_s1.htm#9485","pierce, as wth a needle; extract by piercing"
"*suksuk","acd-s_s1.htm#8293","pierce, penetrate; insert"
"*suksuk-i","acd-s_s1.htm#8299","to insert, cram, stuff"
"*suku","acd-s_s1.htm#9586","one quarter; designation for a division of society, probably a lineage"
"*sukud","acd-s_s1.htm#5467","walking stick, cane, staff"
"*su(ŋ)kuk","acd-s_s1.htm#5468","hang one's head"
"*sukul₂","acd-s_s1.htm#9260","cornered, unable to escape"
"*sukul₃","acd-s_s1.htm#9262","to measure vertically"
"*sukun","acd-s_s1.htm#9247","breadfruit sp."
"*sulam","acd-s_s1.htm#9264","pierce or remove with a needle"
"*suled","acd-s_s1.htm#9470","insert, plug"
"*sulen","acd-s_s1.htm#9469","insert, plug"
"*suli₁","acd-s_s1.htm#8281","plant shoot, sprout, cutting"
"*suli₂","acd-s_s1.htm#9560","to reverse, turn around"
"*suli₃","acd-s_s1.htm#12264","taro"
"*sulig","acd-s_s1.htm#9215","a fish, the fusilier:  sp."
"*suliq","acd-s_s1.htm#9328","to reverse, turn around"
"*sulsul₁","acd-s_s1.htm#9374","follow the edge of a body of water, as in going upstream"
"*sulud₂","acd-s_s1.htm#9640","push"
"*suluŋ₁","acd-s_s1.htm#5406","shelter"
"*suluŋ₂","acd-s_s1.htm#9459","put on clothing, wrap around body"
"*suluq","acd-s_s1.htm#7621","torch, probably of dried palm frond"
"*sumaŋed","acd-s_s1.htm#8815","soul of a living being; soul of the rice plant"
"*sumaŋet nu pajay","acd-s_s1.htm#8816","soul of the rice plant"
"*s<um>ebuS","acd-s_s1.htm#8944","to hiss or steam, of water touching a fire"
"*s<um>epsep","acd-s_s1.htm#7481","to suck, sip"
"*s<um>iku","acd-s_s1.htm#8491","to elbow; to push or jab with the elbow"
"*s<um>uksuk","acd-s_s1.htm#8298","to enter, penetrate, pierce"
"*s<um>ulud","acd-s_s1.htm#9641","to push"
"*s<um>unaR","acd-s_s1.htm#7292","to shine, radiate light"
"*s<um>usu","acd-s_s1.htm#7631","to suckle, suck at the breast"
"*sunaR","acd-s_s1.htm#7290","light, radiance"
"*sunuR","acd-s_s1.htm#9047","set fire to, smoke out"
"*suŋa","acd-s_s1.htm#9725","do wrong, do in reverse"
"*su(ŋ)kit","acd-s_s1.htm#9130","pick or knock down fruit with a pole"
"*suŋut₂","acd-s_s1.htm#5462","labial circle"
"*supaq","acd-s_s1.htm#5424","to spit, expectorate"
"*sumpit","acd-s_s1.htm#8279","blowpipe, blowgun"
"*supsup","acd-s_s1.htm#5426","sip, suck"
"*supu","acd-s_s1.htm#5427","boundary, border"
"*suqan","acd-s_s1.htm#8274","digging stick"
"*suqaR","acd-s_s1.htm#5428","thorn"
"*suquN","acd-s_s1.htm#5433","carry on the head"
"*surup₁","acd-s_s1.htm#5445","enter, penetrate; to set, of the sun"
"*suRuq₂","acd-s_s1.htm#9304","to call on a person to do something"
"*susu","acd-s_s1.htm#5451","banana or plantain sp."
"*susu₁","acd-s_s1.htm#7625","female breast; udder"
"*susun","acd-s_s1.htm#7560","to stack up, pile in layers"
"*susuq","acd-s_s1.htm#5450","edible snail"
"*sutsut₁","acd-s_s1.htm#9337","to lose weight, grow thin"
"*Sajek-en","acd-s_s2.htm#4981","to smell"
"*Sauni","acd-s_s2.htm#5089","in a little while, momentarily, later"
"*Si-lahud","acd-s_l.htm#7046","wind from the sea (?)"
"*Suaji-an","acd-s_s2.htm#5376","called or regarded as siblings (?)"
"*S<um>apaR","acd-s_s2.htm#5018","unroll, spread out a mat"
"*SuRut","acd-s_s2.htm#5446","pull, draw"
"*SuRut-en","acd-s_s2.htm#5447","be pulled or drawn"
"*-ta","acd-s_t.htm#10272","1pl. incl. genitive suffix"
"*ta-₁","acd-s_t.htm#10270","1pl. incl. nominative and hortative pronoun"
"*ta-₂","acd-s_t.htm#10284","prefix marking spontaneous or involuntary action"
"*taba₃","acd-s_t.htm#10711","cut with a knife"
"*tabad","acd-s_t.htm#10499","to cut, make an incision"
"*tambak₁","acd-s_t.htm#5492","hit, pound on"
"*tambak₂","acd-s_t.htm#8570","dam, dyke, embankment; to fill a hole with earth; to heap up"
"*tambal₁","acd-s_t.htm#10285","to mend, patch"
"*taban","acd-s_t.htm#7177","booty, war captive; what is taken in war; elopement, captured bride"
"*tabaŋ","acd-s_t.htm#5471","help, assist"
"*tambar","acd-s_t.htm#10277","antidote (as for snakebite)"
"*tabtab₂","acd-s_t.htm#10336","slurp up food or water; eat like a pig or dog; gulp down"
"*tabukul","acd-s_t.htm#10313","casting net for fishing"
"*tabun₂","acd-s_t.htm#10296","to cover with earth, sand, etc."
"*tabuni₁","acd-s_t.htm#7820","placenta, afterbirth"
"*tabuq","acd-s_t.htm#10298","scoop up water; water scoop or dipper"
"*tabuqan","acd-s_t.htm#10300","yellowjacket wasp"
"*tabuR₁","acd-s_t.htm#10299","to strew, scatter, as seed"
"*tabuRi","acd-s_t.htm#7935","conch shell trumpet"
"*tabuRiq","acd-s_t.htm#5496","conch shell trumpet"
"*tada","acd-s_t.htm#5473","natural cockspur (cf *, artificial cockspur)"
"*taŋga₁","acd-s_t.htm#10482","rung of a ladder; runged ladder"
"*taŋga₂","acd-s_t.htm#12248","the Indian cork tree:"
"*tageRaŋ","acd-s_t.htm#6535","ribcage"
"*tahan","acd-s_t.htm#8160","abode, place of residence"
"*tahaw","acd-s_c2.htm#2012","outdoors, outside"
"*tahep","acd-s_t.htm#1993","winnow"
"*tahep-an","acd-s_t.htm#1994","winnowing basket"
"*tahep-i₁","acd-s_t.htm#5475","to winnow"
"*tahep-i₂","acd-s_t.htm#1996","winnow"
"*tahiq","acd-s_c2.htm#1998","to sew"
"*ta-huaji","acd-s_s2.htm#5374","younger sibling of the same sex; younger parallel cousin of the same sex"
"*tak","acd-s_t.htm#10562","bang!"
"*taŋkas","acd-s_t.htm#5527","loosen, untie"
"*takaw₁","acd-s_c2.htm#1938","steal"
"*taŋkay","acd-s_t.htm#10467","stem of a plant, stalk"
"*taŋkep","acd-s_t.htm#10468","catch, as by covering"
"*takes₁","acd-s_t.htm#10390","to wrap around; embrace, hug"
"*taki","acd-s_c2.htm#1956","feces, excreta"
"*taktak₁","acd-s_t.htm#10430","to fall, of many things at once; to dislodge the contents of a container by knocking it against something"
"*taktak₂","acd-s_t.htm#10524","clatter, clack"
"*taku₂","acd-s_t.htm#10640","dipper, scoop; to scoop, ladle up"
"*takub","acd-s_t.htm#9171","thin covering, eyelid"
"*takub-takub","acd-s_t.htm#9173","eyelid"
"*takut","acd-s_t.htm#7425","fear"
"*talaq₁","acd-s_t.htm#5479","the morning (evening) star: Venus"
"*talas","acd-s_t.htm#5480","break, burst"
"*talaw","acd-s_t.htm#5481","timid, fearful; coward"
"*tales","acd-s_t.htm#7486","taro:"
"*talih","acd-s_c2.htm#1960","rope, cord, twine, string"
"*ta-likud","acd-s_l.htm#7537","turn the back on"
"*taliŋa","acd-s_c2.htm#1974","ear; kind of tree fungus"
"*taliŋa nu kahiw","acd-s_c2.htm#1976","wood ear, semicircular edible fungus which grows on tree trunks"
"*talisay","acd-s_t.htm#10441","a shore tree with edible nuts:"
"*taliuk","acd-s_t.htm#5483","turn, go around"
"*talu₂","acd-s_t.htm#10539","to lose, be defeated"
"*taluk","acd-s_t.htm#5487","young plant shoot"
"*taluki","acd-s_t.htm#5486","kind of fabric (silk?)"
"*talun₁","acd-s_c2.htm#1978","fallow land; secondary forest"
"*tama₁","acd-s_t.htm#5491","appropriate, suitable, right; fit together; hit the mark"
"*tama₂","acd-s_t.htm#8961","enter, penetrate; bold, of persons"
"*tamaq₁","acd-s_t.htm#5490","appropriate, suitable; fit together; hit the mark"
"*tamaq₂","acd-s_t.htm#8963","enter, penetrate; bold, of persons"
"*t-amax","acd-s_a1.htm#139","father"
"*tamiaŋ","acd-s_t.htm#5497","kind of bamboo"
"*tamiŋ","acd-s_t.htm#5499","type of shield"
"*tamiq","acd-s_t.htm#9471","to taste, try"
"*tamis","acd-s_t.htm#5498","to taste, try"
"*tamtam","acd-s_t.htm#5505","smack the lips"
"*tanek","acd-s_t.htm#7332","to cook"
"*tanek-en","acd-s_t.htm#7340","to be cooked"
"*tanem","acd-s_c2.htm#7438","grave; to bury; to plant"
"*tanem-an","acd-s_c2.htm#7450","area that is planted(?)"
"*tanem-i","acd-s_c2.htm#7452","to plant on or in"
"*taneq","acd-s_t.htm#8059","earth, soil, land"
"*taneq pulut","acd-s_t.htm#8062","clay, sticky earth"
"*taneq tumbuq","acd-s_t.htm#8064","anthill, termite mound (lit, ‘growing earth’)"
"*tani₂","acd-s_t.htm#10658","here"
"*tanum₁","acd-s_c2.htm#7455","fill with water"
"*t<an>uzuq","acd-s_t.htm#8829","index finger"
"*taNiud","acd-s_t.htm#7254","mulberry tree and fruit:  (Hotta)"
"*tañam","acd-s_t.htm#5522","try, taste"
"*taŋ","acd-s_t.htm#10595","sound of a clang or bang"
"*taŋa","acd-s_t.htm#10479","to gape stupidly, gawk"
"*taŋad","acd-s_t.htm#10432","look upward"
"*taŋada","acd-s_t.htm#10644","to look upward"
"*taŋan","acd-s_t.htm#5523","finger, toe"
"*taŋaR","acd-s_t.htm#10723","to seize with the teeth, hold by biting"
"*taŋeb","acd-s_t.htm#5524","lid, cover"
"*taŋelaj","acd-s_c2.htm#10768","elephant grass, miscanthus grass:"
"*taŋila","acd-s_c2.htm#2038","ear"
"*taŋiRi","acd-s_t.htm#9141","Spanish mackerel, kingfish:  spp."
"*taŋis","acd-s_c2.htm#2040","weep, cry; mourn"
"*taŋis-an","acd-s_c2.htm#7775","to cry over something or someone"
